Type,Entity 1,Relationship,Type,Entity2
ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into theft
ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft from castle of Melfi
LOC,Becchina, was ,O, convicted
PERSON,Dietrich von Bothmer, to fragments is ,DATE, Isman 2011b
ORG,Carabinieri, recognized ,O, his place
ORG,Carabinieri, Soon recognized ,O, his place
LOC,Becchina, started ,O, dealing in antiquities in 1970s
ORG,Carabinieri, identified among ,O, photographs discovered in wreckage
LOC,Becchina, was convicted in ,GPE, Rome
PERSON,Jiri Frel, was associated with ,O, irregularities
ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft of eight antiquities from castle
PERSON,Getty, had acquired piece from ,LOC, Becchina
ORG,Operation Geryon, was ,CARDINAL, name given to investigation into theft of eight antiquities from castle
ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into armed theft from castle of Melfi
ORG,Carabinieri, Soon after recognized ,O, his place
ORG,Operation Geryon, was ,GPE, name given by Carabinieri to investigation into theft of eight antiquities from castle of Melfi
LOC,Becchina, was ,GPE, In February 2011 convicted in Rome dealing in antiquities
ORG,Carabinieri, is in ,NORP, collaboration with Swiss police
ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
LOC,Becchina, started ,GPE, dealing in antiquities from his premises in Basel
ORG,Operation Geryon, was ,CARDINAL, name given by Carabinieri to investigation into theft of eight antiquities
ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into armed theft from castle of Melfi
ORG,Carabinieri, identified among ,O, photographs discovered
ORG,Carabinieri, identified among ,O, photographs
PERSON,Jiri Frel, was associated with ,O, several irregularities regarding museum acquisitions
ORG,Operation Geryon, was ,CARDINAL, name given by Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation
ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into theft from castle
LOC,Becchina, was ,GPE, In February 2011 convicted in Rome illegally dealing
ORG,Operation Geryon, was ,CARDINAL, name given to investigation into theft of eight antiquities
