Type,Entity 1,Relationship,Type,Entity2
GPE,Mexico, to ,O, Sinaloa cartel
GPE,Piedras Negras, is name of ,O, Classic polity of Yo ' k
GPE,Guatemala, in ,NORP, Peten region
PERSON,Alan Shestack, has admitted ,O, embarrassed by presence
PERSON,Piedras Negras Stela, was ,CARDINAL, found by Maler near line through 7
PERSON,Piedras Negras Stela, was discovered in ,O, row of stelae on terrace
GPE,Guatemala, in ,O, Sierra del Lacandón National Park
PERSON,Piedras Negras Stela, was found through ,CARDINAL, 7
PERSON,Piedras Negras Stela 8, was found by ,CARDINAL, Maler near line of Stelae 2
PERSON,Piedras Negras Stela, was found by ,ORG, Maler
GPE,Usumacinta, is ,O, free trade zone
ORG,Maler, existing in ,CARDINAL, three fragments
PERSON,Piedras Negras Stela 8, was found by ,ORG, Maler near line of Stelae 2
PERSON,Piedras Negras Stela, was ,CARDINAL, found by Maler through 7
PERSON,Alan Shestack, has admitted ,O, embarrassed by presence of stela fragment
GPE,Piedras Negras, is ,O, in which lost to looters
PERSON,Bator, being in ,O, collection of Museum of Art
PERSON,Piedras Negras Stela 8, was found by ,ORG, Maler near line
GPE,Piedras Negras, of History is ,O, online text
PERSON,Piedras Negras Stela, was ,ORG, discovered by Maler in row
PERSON,Piedras Negras Stela, was found by ,CARDINAL, Maler broken into three fragments
GPE,Piedras Negras, is ,O, in which lost
GPE,Piedras Negras, is modern name of ,PERSON, Classic Maya polity
PERSON,Piedras Negras Stela 3, was found by ,ORG, Maler broken into three fragments
GPE,Piedras Negras, is name of ,PERSON, Classic Maya polity of Yo ' k
PERSON,Piedras Negras Stela 8, was ,ORG, found by Maler near line of Stelae 2 through 7
GPE,Usumacinta, is ,O, free trade zone for looters
PERSON,Piedras Negras Stela 2, was ,ORG, discovered by Maler in row of stelae
PERSON,Mahler, Researches in ,O, Central Portion
GPE,Piedras Negras, is lost to ,O, looters for good
GPE,Usumacinta, is ,O, now free trade zone for looters
PERSON,Alan Shestack, director of ,ORG, Institute
GPE,Usumacinta, is ,O, now trade zone
PERSON,Alan Shestack, has admitted ,O, embarrassed
PERSON,Piedras Negras Stela 11, was discovered by ,ORG, Maler face-down
PERSON,Piedras Negras Stela 8, was found through ,CARDINAL, 7
PERSON,Piedras Negras Stela 8, was ,ORG, found by Maler near line through 7
PERSON,Piedras Negras Stela 2, was discovered in ,O, row of stelae
GPE,Mexico, 's cartel is ,DATE, Daniel 2005
PERSON,Alan Shestack, being embarrassed by ,O, presence
GPE,Piedras Negras, located in ,GPE, Guatemala Sierra del Lacandón National Park
PERSON,Guillermo González, head of ,GPE, Guatemala 's drug police
PERSON,Piedras Negras Stela 11, was ,O, discovered
GPE,Piedras Negras, is name of ,PERSON, Classic Maya polity
GPE,Piedras Negras, is ,O, in which lost to looters for good
ORG,Parke-Bernet Galleries, advertised stela In ,DATE, 1968
GPE,Usumacinta, is ,O, free
