Type,Entity 1,Relationship,Type,Entity2
ORG,Rassiga, been involved in ,LOC, later attempted sale of large looted Maya temple façade
ORG,Rassiga, been involved in ,LOC, sale of Maya temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,LOC, attempted sale of large Maya temple façade from site of Placeres
ORG,Rassiga, been involved in ,LOC, attempted sale of large looted Maya temple façade from site
ORG,Rassiga, been involved in ,LOC, later attempted sale of Maya temple façade from site of Placeres in Mexico
PERSON,Las Bocas, been ,O, had already applied
ORG,Rassiga, been involved in ,GPE, sale of temple façade from site of Placeres in Mexico
PERSON,Las Bocas, became for ,PERSON, particular style of Olmec figurine
ORG,Rassiga, was alleged ,LOC, have involved in sale of looted Maya temple façade from site of Placeres
ORG,Rassiga, been involved in ,LOC, sale of large looted Maya temple façade from site of Placeres in Mexico
PERSON,Las Bocas, been ,O, had applied to style
ORG,Rassiga, was alleged ,O, have involved in sale of looted temple façade
ORG,Rassiga, been involved in ,O, later sale of looted temple façade from site of Placeres
ORG,Rassiga, been involved in ,LOC, later sale of large Maya temple façade from site
ORG,Rassiga, been involved in ,LOC, later sale of large Maya temple façade from site of Placeres in Mexico
PERSON,Las Bocas, been ,O, had already applied to particular style
ORG,Rassiga, been involved in ,O, sale of looted temple façade from site of Placeres
ORG,Rassiga, was ,O, alleged
ORG,Rassiga, been involved in ,O, later sale of temple façade from site
PERSON,Las Bocas, is of ,O, mentioned in much on subject of iconography
PERSON,Las Bocas, been ,PERSON, had already applied to style of Olmec figurines
ORG,Rassiga, been involved in ,O, sale of temple façade from site of Placeres
ORG,Rassiga, been involved in ,O, later attempted sale of large looted temple façade
PERSON,Las Bocas, became for ,O, style
ORG,Rassiga, been involved in ,O, later attempted sale of looted temple façade from site of Placeres
ORG,Rassiga, been involved in ,O, sale of large looted temple façade from site of Placeres
ORG,Rassiga, been involved in ,O, later attempted sale of temple façade
ORG,Rassiga, was alleged ,LOC, have involved in sale of looted Maya temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,LOC, later sale of Maya temple façade from site of Placeres in Mexico
PERSON,Paillés Hernández, has stated In ,O, response
ORG,Rassiga, been involved in ,O, later sale of temple façade from site of Placeres
ORG,Rassiga, been involved in ,O, later sale of large looted temple façade
ORG,Rassiga, been involved in ,GPE, sale of looted Maya temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,GPE, sale of large Maya temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,O, later sale of large temple façade
ORG,Rassiga, been involved in ,GPE, later sale of temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,GPE, sale of looted temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,GPE, sale of large looted temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,O, later attempted sale of temple façade from site
PERSON,Las Bocas, is of ,O, mentioned in much on subject
ORG,Rassiga, was alleged ,O, have involved in sale of looted temple façade from site
ORG,Rassiga, been involved in ,LOC, attempted sale of large looted Maya temple façade from site of Placeres
ORG,Rassiga, been involved in ,LOC, sale of looted Maya temple façade
ORG,Rassiga, was alleged ,LOC, have involved in sale of Maya temple façade from site of Placeres
ORG,Rassiga, been involved in ,GPE, attempted sale of looted temple façade from site of Placeres in Mexico
PERSON,Las Bocas, yielding ,O, objects
ORG,Rassiga, been involved in ,LOC, later sale of large Maya temple façade from site of Placeres
ORG,Rassiga, been involved in ,GPE, attempted sale of large temple façade from site of Placeres in Mexico
ORG,Rockefeller, purchasing ,O, piece
ORG,Rassiga, been involved in ,LOC, later attempted sale of large Maya temple façade
ORG,Coe, being ,O, cemetery
ORG,Rassiga, been involved in ,LOC, later sale of large Maya temple façade
ORG,Rassiga, been involved in ,LOC, later sale of looted Maya temple façade
ORG,Rassiga, was alleged ,O, have involved in sale
GPE,Sweden, of ,O, National Museum
ORG,Rassiga, been involved in ,GPE, attempted sale of Maya temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,GPE, later sale of Maya temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,O, attempted sale of looted temple façade from site of Placeres
PERSON,Las Bocas, is of ,O, mentioned in much of recent literature
ORG,Rassiga, been involved in ,GPE, later sale of looted Maya temple façade from site of Placeres in Mexico
PERSON,Las Bocas, yielding ,O, objects of finest caliber
PERSON,Las Bocas, became for ,O, particular style of figurine
ORG,Rassiga, been involved in ,LOC, later attempted sale of large looted Maya temple façade from site
ORG,Rassiga, was alleged ,O, have involved in sale of large temple façade from site
ORG,Rassiga, been involved in ,O, later attempted sale of large temple façade from site of Placeres
ORG,Rassiga, was alleged ,GPE, have involved in sale of large temple façade from site of Placeres in Mexico
ORG,Rassiga, been involved in ,O, later sale of large looted temple façade from site
ORG,Rassiga, been involved in ,O, sale of temple façade from site
