global traffic , is in , looted objects
looters , is in , around 1979/80
1000 BC , part of , ancient Kingdom
settlement , was founded around , part
settlement , was , founded
Hellenistic settlement , was founded around , part of ancient Kingdom
Hellenistic settlement , was , founded
settlement , was founded around , part of ancient Kingdom
settlement , was founded around , part of Kingdom of Syracuse
settlement , was founded around , 1000 BC
settlement , was founded around , part of ancient Kingdom of Syracuse
Hellenistic settlement , was founded around , Wilkerson 2001
Hellenistic settlement , was founded around , 1000 BC
Hellenistic settlement , was founded around , part of ancient Kingdom of Syracuse
settlement , was founded around , part of Kingdom
ancient Kingdom , of part is , Stille 1999
Hellenistic settlement , was founded around , part of Kingdom
Hellenistic settlement , was founded around , part
settlement , was founded around , Wilkerson 2001
Hellenistic settlement , was founded around , part of Kingdom of Syracuse
its location , was lost for , many years
its exact location , however was lost for , years
its location , was lost for , years
its location , however was lost for , years
its exact location , was lost for , years
its location , however was lost for , many years
its exact location , was lost for , many years
its exact location , however was lost for , many years
Carthage , is in , 211 BC
Carthage , is in , Second Punic War
excavations , have continued For , years
work , is with , always awareness
Virginia , of University is , Bell 2002
excavations , have continued at , Morgantina
It , is , believed
silver , consisting of , 16 pieces
silver , was smuggled into , Switzerland
silver , was smuggled in , Brodie 1998
silver , was , then probably smuggled
silver , was then probably smuggled into , Switzerland
silver , was , probably smuggled
silver , was probably smuggled in , Brodie 1998
silver , was , smuggled
silver , was probably smuggled into , Switzerland
silver , consisting of , pieces
silver , was then probably smuggled in , Brodie 1998
New York Metropolitan Museum , acquired silver for , sum
New York Metropolitan Museum , acquired silver for , total sum
New York Metropolitan Museum , acquired silver for , Blouin Art Info 2010
New York Metropolitan Museum , acquired , silver
New York Metropolitan Museum , acquired silver for , total sum of $ 2.7 million
New York Metropolitan Museum , acquired silver for , sum of $ 2.7 million
$ 2.7 million , of sum is , Blouin Art Info 2010
New York Metropolitan Museum , acquired silver in , two lots
Vincenzo Bossi , sold silver for , 110 million lire
Lugano , is in , Switzerland
tombaroli , is in , Enna
Vincenzo Bossi , sold , silver
Vincenzo Bossi , sold , Filippo Baviera
Vincenzo Bossi , tombaroli in , Enna
Vincenzo Bossi , silver , Filippo Baviera
Vincenzo Bossi , sold silver for , 110 million lire to Orazio Di Simone
chain , has , has summarised
Met , has , curator
museum , in , Bulletin
its , provenance , Singleton 2006
Met 's curator , connected with , acquisition of Euphronios Krater
Met 's curator , also connected with , acquisition of Euphronios Krater
Met 's curator , connected with , acquisition
Met 's curator , connected In , 1984 Dietrich von Bothmer
museum , 's Bulletin is , Bell 2002
Met 's curator , also connected In , 1984 Dietrich von Bothmer
Met 's curator , also connected with , acquisition
provenience , had , when had identified as Sicily
provenience , had , had identified
first , was made in , 1988
first , was made later in , 1988
first , was , made
first , was , made later
first , was , made four years later
provenience , had , had identified as Sicily
first , was , made four years later in 1988
