Researching , traffic in , objects
Moche funerary site , is in , Northern Peru
global traffic , is in , looted objects
Researching , traffic in , looted objects
Researching , global traffic in , objects
Researching , global traffic in , looted objects
site , is located in , Jequetepeque Valley
site , is , located
Peru , of , north coast
site , is located in , Jequetepeque Valley of Peru 's north coast
It , is , named
objects , began In , mid-1988
objects , began , appear
objects , began , appear on art market
objects , appear on , art market
They , were similar to , famous
They , were , similar in style to famous
They , were , similar
They , were similar in , style
pieces , came from , site somewhere
pieces , came from , site somewhere in Jequetepeque Valley
pieces , came from , site
Archaeologist Christopher Donnan , spent , month searching for site
Archaeologist Christopher Donnan , spent , month searching
Archaeologist Christopher Donnan , locating , it
Archaeologist Christopher Donnan , spent month on , ground
Archaeologist Christopher Donnan , spent , nearly month searching
Archaeologist Christopher Donnan , spent , nearly month searching for site
Archaeologist Christopher Donnan , locating , colleagues
Archaeologist Christopher Donnan , spent , colleagues
Archaeologist Christopher Donnan , locating , Kirkpatrick 1992
Archaeologist Christopher Donnan , spent , nearly month
Archaeologist Christopher Donnan , spent , month
11 , On 1989 is , contacted by unnamed antiquities collector based in Trujillo
archaeologist Walter Alva , was contacted by , unnamed antiquities collector
archaeologist Walter Alva , was contacted by , antiquities collector
archaeologist Walter Alva , was contacted by , unnamed antiquities collector based
archaeologist Walter Alva , was , contacted
archaeologist Walter Alva , was contacted by , unnamed antiquities collector based in Trujillo
archaeologist Walter Alva , was contacted by , antiquities collector based
archaeologist Walter Alva , was contacted by , antiquities collector based in Trujillo
collector , told , Alva
farmer , had , looter
unemployed farmer , had , Moche material
unemployed farmer , had , known looter
farmer , had , Moche material
farmer , had , located Moche material
unemployed farmer , had , looter
farmer , had , known looter
unemployed farmer , had , located Moche material
he , needed , money
collector , initially suspected Because of , quality
collector , suspected Because of , quality of objects
collector , suspected Because of , quality
collector , suspected Because of , high quality
collector , suspected , that
collector , initially suspected Because of , high quality of objects
collector , initially suspected , that
collector , suspected Because of , high quality of objects
collector , initially suspected Because of , high quality
collector , initially suspected Because of , quality of objects
collector , was , However able
identity , questioning , him
collector , was , able
collector , discovering , identity of original looter
collector , discovering , identity of looter
collector , tie pieces to , La Mina
collector , discovering , identity
collector , tie , pieces
La Mina tomb , would , would destroyed by swarms
La Mina tomb , would , would destroyed by swarms of looters
word , spread about , discovery
La Mina tomb , would , would destroyed
archaeologists , could study , it
He , hoped for , Alva
He , hoped for , Alva famous
He , hoped for , Alva famous for his Sipán intervention
Alva , encountered looters in , process of digging
Alva , encountered , several looters
Alva , reaching , La Mina
Alva , encountered looters in , process
Alva , encountered , looters
rescue excavation , was , launched
Kirkpatrick , reception 's , art market
Kirkpatrick , reception of , looted La Mina material
art market , has , reception of looted La Mina material
publicity , market for , new Moche material
quality , was , spectacular
poor publicity , associated with , Sipán
poor publicity , spoiled , market for Moche material
publicity , spoiled , market for new Moche material
poor publicity , market for , new Moche material
poor publicity , market for , Moche material
poor publicity , spoiled , market for new Moche material
publicity , market for , Moche material
