Researching , traffic in , objects
global traffic , is in , looted objects
Researching , traffic in , looted objects
Researching , global traffic in , objects
Researching , global traffic in , looted objects
It , is , first Canadian totem pole
It , is , first Canadian totem pole repatriated from Europe
It , is , Canadian totem pole repatriated
It , is , totem pole repatriated from Europe
It , is , first totem pole repatriated from Europe
It , is , first totem pole repatriated
It , is , first totem pole
It , is , Canadian totem pole
It , is , first Canadian totem pole repatriated
It , is , Canadian totem pole repatriated from Europe
It , is , totem pole
It , is , totem pole repatriated
Haisla , are , group based with approximate membership of 1500 people
Haisla , are , Canadian group based
Haisla , are , Indigenous group based with approximate membership of 1500 people
Canadian Indigenous group , based out , Kitimaat area North Coast
Haisla , are , Indigenous group based with membership of 1500 people
Canadian Indigenous group , based out , Kitimaat area
Haisla , are , group based with approximate membership
Indigenous group , based out , Kitimaat area North Coast British Columbia
Haisla , are , Canadian Indigenous group based with approximate membership
Haisla , are , Canadian group based with membership of 1500 people
Indigenous group , based out , Kitimaat area
Haisla , are , Canadian group based with membership
Haisla , are , group based with membership of 1500 people
Haisla , are , Canadian
Haisla , are , Indigenous group based
Canadian group , based out , Kitimaat area
Haisla , are , Canadian Indigenous group based with approximate membership of 1500 people
Haisla , are , group based
Haisla , are , Canadian Indigenous group
Haisla , are , group based with membership
Canadian group , based out , Kitimaat area North Coast British Columbia
group , based out , Kitimaat area North Coast British Columbia
Haisla , are , Indigenous
Indigenous group , based out , Kitimaat area North Coast
Haisla , are , Canadian Indigenous group based with membership of 1500 people
Haisla , are , Indigenous group based with membership
Haisla , are , Canadian group
Haisla , are , Indigenous group based with approximate membership
group , based out , Kitimaat area North Coast
Haisla , are , Canadian group based with approximate membership
Haisla , are , Canadian Indigenous group based with membership
Canadian Indigenous group , based out , Kitimaat area North Coast British Columbia
Haisla , are , Indigenous group
Canadian group , based out , Kitimaat area North Coast
Haisla , are , group
Haisla , are , Canadian Indigenous group based
group , based out , Kitimaat area
Haisla , are , Canadian group based with approximate membership of 1500 people
modern Haisla First Nation , is , amalgamation
Haisla First Nation , is , amalgamation
Haisla system , is based on , matrilineal clans
Haisla system , is based According to , their website
Haisla social system , is , based
Haisla system , is , based
Haisla system , is based on , clans
Haisla social system , is based on , clans
Haisla social system , is based According to , their website
Haisla social system , is based on , matrilineal clans
1918 influenza pandemic , killed , Wolf
influenza pandemic , killed , entire Wolf
1918 influenza pandemic , decimated , population
1918 influenza pandemic , killed , entire Wolf
influenza pandemic , leaving , alive
1918 influenza pandemic , leaving , alive
influenza pandemic , decimated , population
influenza pandemic , killed , Wolf
epidemics , due to , European contact
numerous other epidemics , due to , contact
numerous epidemics , due to , contact
numerous epidemics , due to , European contact
numerous other epidemics , due to , European contact
epidemics , due to , contact
other epidemics , due to , contact
other epidemics , due to , European contact
he , had with , spirit Tsooda
he , had following , death from smallpox
he , had following , death of his children
he , had following , death of his children from smallpox
leader , commissioned , carving of totem pole
leader , carving of , totem pole
leader , commissioned , carving
he , had following , death
leader , commissioned In , 1872
pole , was erected in , Henaksiala village
it , stood for , over 50 years
Misk , ' usa is , Henaksiala village
pole , was , erected
totem poles , were tied part to , complex system
totem poles , were tied part to , system
totem poles , were tied , part
totem poles , were tied , part of prestige
totem poles , were tied part In , culture
totem poles , were tied part to , complex system of wealth display
totem poles , were tied part In , Henaksiala culture
totem poles , were tied part to , system of wealth display
totem poles , were tied , part of prestige associated with potlach
totem poles , were tied , part of prestige associated
way , celebrate , erection
potlach , was , traditional way
way , celebrate , erection of pole
potlach , was , way
traditional way , celebrate , erection
traditional way , celebrate , erection of pole
flowering , occurred , due to shift following early century contact
flowering , occurred , due to shift in wealth following century contact
flowering , occurred , due to initial shift in local wealth following 19th century contact
flowering , occurred , due to initial shift in wealth following early century contact
flowering , occurred , due to initial shift
carving , slowed , mid-century due to massive population loss from disease
flowering , occurred , due to initial shift following 19th century European contact
flowering , occurred , due to shift in wealth following early 19th century European contact
flowering , occurred , due to shift in wealth following early century European contact
flowering , occurred , due to shift following 19th century contact
carving , slowed , mid-century due to population loss from disease
flowering carving , slowed , mid-century due
flowering , occurred , due to shift in wealth following century European contact
flowering , occurred , due to initial shift in local wealth
flowering , occurred , due to shift following century contact
flowering , occurred , due to shift following early 19th century European contact
flowering , occurred , due
flowering , occurred , due to shift in wealth
flowering , occurred , due to initial shift in wealth following century European contact
flowering , occurred , due to shift in local wealth
flowering , occurred , due to initial shift in local wealth following century European contact
flowering , occurred , due to initial shift following early century contact
flowering , occurred , due to shift in local wealth following century European contact
flowering , occurred , due to shift in wealth following early 19th century contact
flowering , occurred , due to initial shift in wealth following 19th century European contact
flowering , occurred , due to shift in local wealth following early century contact
flowering , occurred , due to shift
flowering carving , slowed , mid-century due to massive population loss
flowering carving , slowed , mid-century due to massive population loss from disease
flowering carving , slowed , mid-century due to population loss
flowering , occurred , due to initial shift in wealth following early 19th century contact
flowering , occurred , due to initial shift in wealth
flowering , occurred , due to shift in local wealth following early 19th century European contact
carving , slowed , mid-century
flowering carving , slowed , mid-century due to population loss from disease
flowering , occurred , due to shift in wealth following 19th century contact
flowering , occurred , due to initial shift following early 19th century European contact
flowering , occurred , due to shift following early century European contact
mid-century , due to , massive population loss
flowering , occurred , due to initial shift in local wealth following early 19th century European contact
carving , slowed , mid-century due
flowering , occurred , due to initial shift following century European contact
flowering , occurred , due to shift in local wealth following early 19th century contact
flowering , occurred , due to shift in wealth following 19th century European contact
flowering , occurred , due to shift following century European contact
flowering , occurred , due to initial shift in wealth following early century European contact
flowering , occurred , due to initial shift in local wealth following early century European contact
flowering , occurred , due to initial shift in wealth following early 19th century European contact
flowering , occurred , due to shift in local wealth following 19th century contact
mid-century , due to , population loss from disease
flowering , occurred , due to shift following 19th century European contact
flowering , occurred , due to initial shift in local wealth following 19th century European contact
flowering , occurred , due to shift in local wealth following century contact
flowering , occurred , due to initial shift in local wealth following early century contact
flowering , occurred , due to shift in local wealth following early century European contact
carving , slowed , mid-century due to population loss
flowering , occurred , due to shift in local wealth following 19th century European contact
mid-century , due to , massive population loss from disease
flowering carving , slowed , mid-century
flowering , occurred , due to initial shift in local wealth following century contact
flowering , occurred , due to initial shift in wealth following century contact
flowering , occurred , due to shift following early 19th century contact
initial shift , is in , local wealth
flowering , occurred , due to initial shift following century contact
