Researching , traffic in , objects
Antiquities dealer Leonardo Patterson , convicted of , wire fraud
Trafficking Culture , was arrested in , Boston
Trafficking Culture , was arrested by , US FBI
Antiquities dealer Leonardo Patterson , convicted of , federal wire fraud
global traffic , is in , looted objects
Trafficking Culture , was , arrested
Researching , traffic in , looted objects
Researching , global traffic in , objects
Researching , global traffic in , looted objects
Patterson , had attempted , sell
he , received payment by , 1 May 1984
he , received , down payment of $ 35,000
Patterson , offered fresco for , $ 250,000
he , received , payment of $ 35,000
he , down payment of , $ 35,000
he , received payment by , Elias 1984
he , received , down payment
he , sell , piece
Patterson , offered , fresco
he , received , payment
he , payment of , $ 35,000
Patterson , originally offered , fresco
Patterson , offered fresco to , Anderson
he , sell piece for , $ 100,000
Patterson , originally offered fresco to , Anderson
Patterson , originally offered fresco for , $ 250,000
Patterson , allegedly told , Anderson
Patterson , told , Anderson
he , authenticated , piece
specific wrongdoing , is in , case
Patterson , authenticate , group of five Maya frescos
Patterson , authenticate , group
Patterson , authenticate group in , Swiss collection
piece , offered to , Anderson
Patterson , brought , him
Patterson , authenticate , group of five frescos
Patterson , authenticate group in , collection
Patterson , offered , piece
Patterson , offered piece in , question with photocopy
Patterson , However offered piece in , question with photocopy of Hales ' authentication document
Patterson , However offered piece in , question
question , is with , photocopy of Hales ' alleged authentication document
Patterson , However offered piece in , question with photocopy
Patterson , However offered , piece
Patterson , offered piece in , question with photocopy of Hales ' alleged authentication document
Patterson , offered piece in , question
Patterson , offered piece in , question with photocopy of Hales ' authentication document
Patterson , However offered piece in , question with photocopy of Hales ' alleged authentication document
piece , was sent Following , arrest of Patterson
it , rendered in , Elias 1984
piece , was sent Following , arrest
piece , was , sent
it , was , fake
piece , was , Following arrest of Patterson sent to archaeologist
piece , was , Following arrest sent to archaeologist
it , rendered in , paint
it , rendered in , acrylic paint
piece , was sent to , archaeologist
Archaeologist Ian Graham , inspected , fresco
Archaeologist Ian Graham , also inspected , fresco
crude , is in , execution
obvious fake , crude in , execution
mural , from , surface
mural , 's surface is , Graham 2012
He , described , it
he , was charged with , wire fraud
he , was charged with , federal wire fraud
he , was , charged
He , sentenced to , probation
He , was , convicted
Patterson , was sentenced to , year in prison
he , be in , possession of figurine
Patterson , was arrested on , still probation
Patterson , was sentenced to , year
he , was found , possession of figurine
he , be in , possession of undeclared Precolumbian figurine
he , be in , possession of undeclared figurine
Patterson , was , sentenced to year in prison on smuggling charges
he , was found , possession of undeclared figurine
he , was found , possession of undeclared Precolumbian figurine
Patterson , was , sentenced to year on smuggling charges
he , be in , possession of Precolumbian figurine
he , was , where found
Patterson , was arrested on , probation
he , was found , possession
he , was , found
Patterson , was sentenced on , smuggling charges
he , was found , possession of Precolumbian figurine
Patterson , was , sentenced
Patterson , was sentenced on , Honan 1995
he , be in , possession
year , is in , prison
Patterson , has , has convicted of fraud in Germany for sale of fake monumental Olmec head
Patterson , has , has convicted of fraud in Germany for sale of fake head
Patterson , has , has convicted of fraud in Germany for sale of fake Olmec head
Patterson , has , has convicted of fraud in Germany for sale
Patterson , has , has convicted for sale of fake Olmec head
Patterson , has , has convicted of fraud
Patterson , has , has convicted of fraud in Germany
fraud , is in , Germany
Patterson , has , has convicted of fraud for sale of fake head
Patterson , has , has convicted of fraud in Germany for sale of fake monumental head
Patterson , has , has convicted for sale of fake head
Patterson , has , has convicted of fraud for sale
Patterson , has , has convicted for sale
Patterson , has , has convicted for sale of fake monumental head
Patterson , has , has convicted of fraud for sale of fake monumental head
Patterson , has , has convicted of fraud for sale of fake Olmec head
Patterson , has , has convicted
Patterson , has , has convicted for sale of fake monumental Olmec head
Patterson , has , has convicted of fraud for sale of fake monumental Olmec head
Elias , arrests ' , on fraud charges
Graham , Road to , Ruins
cost , at relics is , 31 July
cost , at relics is , New York Times
Trading , is in , antiquities
INAH , Collaboration Between , INAH
INAH , Decisive In , Conviction Of Leonardo Patterson '
antiquities legend , is in , intrinsically lawless field
Busts , been seized from , collection of dealer Leonardo Patterson
Busts , been , seized
Busts , been seized from , collection
Busts , have , have seen
Busts , have , have seen on art market
questions , been , have raised around issues of authenticity
questions , been , have raised
questions , been , have raised around issues
fake , is something , that purports
Moche funerary site , is in , Northern Peru
spectacular collection , been systematically looted from , sites throughout 1980s now in possession of Museum
spectacular collection , thought , have looted
collection , been , systematically looted
spectacular collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , been systematically looted from , sites throughout 1980s in possession of Museum of Fine Arts
collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum of Arts
spectacular collection , thought , have looted from sites throughout 1980s now in possession of Museum of Arts
collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s now in possession
collection , thought , have looted
collection , thought , have systematically looted from sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum
collection , thought , have systematically looted from sites throughout 1980s in possession of Museum of Arts
spectacular collection , thought , have systematically looted from sites throughout 1980s now in possession of Museum of Arts
spectacular collection , been looted from , sites throughout 1980s now in possession
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession of Museum of Fine Arts
collection , thought , have systematically looted from Guatemalan sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , been looted from , Guatemalan sites throughout 1980s now in possession of Museum of Arts
spectacular collection , thought , have looted from sites throughout 1980s in possession of Museum
spectacular collection , been looted from , sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , thought , have systematically looted from Guatemalan sites
spectacular collection , thought , have systematically looted from Guatemalan sites throughout 1980s now in possession of Museum
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession
spectacular collection , thought , have looted from sites throughout 1980s now in possession
collection , thought , have systematically looted from sites throughout 1980s in possession of Museum of Fine Arts
collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , thought , have systematically looted from sites
collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum
spectacular collection , been looted from , Guatemalan sites
spectacular collection , thought , have systematically looted from sites throughout 1980s in possession of Museum
collection , been looted from , Guatemalan sites throughout 1980s now in possession
collection , thought , have systematically looted from sites throughout 1980s in possession
spectacular collection , thought , have looted from Guatemalan sites throughout 1980s in possession of Museum of Arts
collection , been looted from , Guatemalan sites
collection , been systematically looted from , Guatemalan sites throughout 1980s now in possession of Museum
spectacular collection , thought , have looted from sites throughout 1980s in possession of Museum of Arts
spectacular collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Arts
spectacular collection , been looted from , Guatemalan sites throughout 1980s in possession
collection , thought , have looted from sites
collection , thought , have looted from sites throughout 1980s in possession of Museum of Fine Arts
spectacular collection , thought , have systematically looted from sites throughout 1980s in possession
collection , been looted from , sites throughout 1980s now in possession of Museum of Fine Arts
collection , been systematically looted from , sites throughout 1980s in possession
spectacular collection , been looted from , sites throughout 1980s now in possession of Museum of Arts
collection , thought , have systematically looted from Guatemalan sites throughout 1980s now in possession of Museum of Arts
spectacular collection , been systematically looted from , Guatemalan sites throughout 1980s in possession
spectacular collection , thought , have looted from sites
spectacular collection , been systematically looted from , sites throughout 1980s now in possession of Museum of Fine Arts
spectacular collection , thought , have looted from sites throughout 1980s in possession of Museum of Fine Arts
