global traffic , is in , looted objects
Mississippi site , is in , Kentucky
Sidney S. Lyon , named mapped mound groups in , Wabash/Ohio areas
Sidney S. Lyon , named mapped , mound groups
Sidney S. Lyon , named mapped , several mound groups
Slack Farm , is mound outside of , Kentucky
Slack Farm , is mound outside of , miles Uniontown
Slack Farm , is , mound
Slack Farm , is mound outside of , few miles Uniontown
few miles , Uniontown , Kentucky
Slack Farm , is mound outside of , Uniontown
eighty archaeological sites , is in , area
site , has , seven discrete zones
site , has , seven zones
Burials , contain , grave goods
Burials , contain , goods
site , is , named
site , was , thought
Slack family , discouraged , digging on their property
site , was thought , safe in their hands
Slack family , discouraged , illicit digging
site , was thought , relatively safe
Slack family , is , thought
site , was thought , relatively safe in their hands
site , was thought , safe
Slack family , discouraged , illicit digging on their property
Slack family , discouraged , digging
most other Mississippian sites , is in , area
Slack Farm , had remained , largely intact
Slack Farm , had remained , intact
land , however became , property
land , became Following , death of member of Slack family
land , became Following , death
land , however became Following , death of member
land , became Following , death of member
land , however became Following , death
land , became , property
land , however became Following , death of member of Slack family
Slack Farm tenants , keep , looters
Slack Farm tenants , keep , looters off property
graves , were opened over , course
graves , were opened over , course of two months
graves , were , opened by looters over course
graves , were , opened
graves , were , opened by looters over course of two months
graves , were opened by , looters
looting , took , place
looting , took place on , on private land
looting , took place on , on land
investigation , allegations of , disinterments
Sergeant Miles Hart , arrived , respond
he , entering , property
Sergeant Miles Hart , arrived at , Slack Farm
Sergeant Miles Hart , respond to , complaint
he , entering property by , two of ten looters
he , entering property by , two ten looters
Sergeant Miles Hart , arrived , respond to complaint
he , was , prevented
they , dig on , private property
they , were within , their rights dig on private property
area , was , campsite
looters , obtaining , search warrant
area , was , ancient
they , were within , their rights dig
they , were within , their rights
they , were within , their rights dig on property
they , dig on , property
area , was , ancient campsite
human remains , were , visible
scattered human remains , were , clearly visible
human remains , were , clearly visible
scattered , stopping , looting in December
scattered , effectively stopping , looting in December
remains , were , visible
scattered , stopping , looting in December of 1987
scattered , effectively stopping , looting in December of 1987
scattered human remains , were , visible
scattered , stopping , looting
scattered remains , were , clearly visible
remains , were , clearly visible
looting , is in , December of 1987
scattered , returned with , cease
scattered , effectively stopping , looting
1987 , of December is , Arden 1989
scattered remains , were , visible
looters , charged by , Union County jury with crime applicable in state of Kentucky
