global traffic , is in , looted objects
debate , have surrounded , two halves of Roman sculpture dating from Late period of type known as Herakles
debate , have surrounded , two halves of sculpture dating from period of type
debate , have surrounded , two halves of sculpture dating from period
debate , have surrounded , two halves of Roman sculpture dating from Late period of type
debate , have surrounded , two halves of Roman sculpture dating from period of type known
debate , have surrounded , two halves of Roman sculpture dating from period of type known as Weary Herakles in Rose
debate , have surrounded , two halves of sculpture dating
debate , have surrounded , two halves of Roman sculpture dating from period of type known as Weary Herakles
debate , have surrounded , two halves of Roman sculpture dating from Antonine period
debate , have surrounded , two halves of Roman sculpture dating from Late period of type known as Weary Herakles in Rose
debate , have surrounded , two halves of sculpture dating from Late period of type known
debate , have surrounded , two halves of sculpture dating from period of type known as Weary Herakles in Rose
debate , have surrounded , two halves of Roman sculpture dating from period
debate , have surrounded , two halves of sculpture dating from Antonine period of type known as Weary Herakles
debate , have surrounded , two halves of sculpture dating from Antonine period of type known as Herakles in Rose
debate , have surrounded , two halves of sculpture dating from Late period of type known as Weary Herakles
debate , have surrounded , two halves of sculpture
debate , have surrounded , two halves of Roman sculpture dating from Late period of type known as Herakles in Rose
debate , have surrounded , two halves of Roman sculpture dating from Late Antonine period of type
debate , have surrounded , two halves of sculpture dating from Antonine period
Weary Herakles , is in , Rose
debate , have surrounded , two halves of Roman sculpture dating from Late period
debate , have surrounded , two halves of Roman sculpture dating from period of type known as Herakles in Rose
debate , have surrounded , two halves of sculpture dating from Late period of type known as Weary Herakles in Rose
debate , have surrounded , two halves of sculpture dating from Late Antonine period
debate , have surrounded , two halves of sculpture dating from Antonine period of type known as Weary Herakles in Rose
debate , have surrounded , two halves of sculpture dating from period of type known as Weary Herakles
debate , have surrounded , two halves of Roman sculpture dating
debate , have surrounded , two halves of sculpture dating from period of type known
debate , have surrounded , two halves
type , of period is , AD 170-192
debate , have surrounded , two halves of sculpture dating from Late period of type known as Herakles in Rose
debate , have surrounded , two halves of sculpture dating from Late period of type
debate , have surrounded , two halves of sculpture dating from Antonine period of type known as Herakles
debate , have surrounded , two halves of Roman sculpture dating from Late period of type known as Weary Herakles
debate , have surrounded , two halves of sculpture dating from Late period of type known as Herakles
debate , have surrounded , two halves of Roman sculpture
debate , have surrounded , two halves of Roman sculpture dating from period of type
debate , have surrounded , two halves of sculpture dating from Late Antonine period of type
debate , have surrounded , two halves of sculpture dating from Antonine period of type
debate , have surrounded , two halves of Roman sculpture dating from period of type known as Herakles
debate , have surrounded , two halves of sculpture dating from period of type known as Herakles
debate , have surrounded , two halves of Roman sculpture dating from Late Antonine period
debate , have surrounded , two halves of sculpture dating from Late period
debate , have surrounded , two halves of sculpture dating from Antonine period of type known
debate , have surrounded , two halves of Roman sculpture dating from Late period of type known
debate , have surrounded , two halves of Roman sculpture dating from Antonine period of type
debate , have surrounded , two halves of sculpture dating from period of type known as Herakles in Rose
excavations , uncovered , half of Weary Herakles statue
excavations , uncovered half In , 1980
excavations , uncovered , half of Herakles statue
excavations , uncovered , half
excavations , uncovered half amid , rumours
large item , looting at , site
looting , included , item
excavations , uncovered , lower half
excavations , uncovered , lower half of Herakles statue
Perge , is in , southern Turkey
excavations , uncovered , lower half of Weary Herakles statue
item , looting at , site
looting , included , large item
Jale Inan , had heard rumors In , fact
Jale Inan , director of , excavations
something important , been stolen from , site
Jale Inan , had heard rumors In , fact at time of excavation of bottom half
something , been stolen from , site
something , been , stolen
Jale Inan , had heard rumors In , fact at time
Jale Inan , had heard rumors In , fact at time of excavation of bottom half of statue
Jale Inan , had heard , rumors
Jale Inan , had heard rumors In , fact at time of excavation of half
Jale Inan , had heard rumors In , fact at time of excavation of half of statue
Jale Inan , had heard rumors In , fact at time of excavation
something important , been , stolen
one year , is in , later 1981
it , exhibited as , part of temporary exhibition at Metropolitan Museum
fifty-percent partnership , is with , collectors Shelby White
it , exhibited as , part of exhibition
it , exhibited at_time , year
it , exhibited as , part of exhibition at Metropolitan Museum in New York
it , exhibited as , part of temporary exhibition at Metropolitan Museum in New York
it , exhibited as , part of exhibition at Metropolitan Museum of Art in New York
it , exhibited as , part of exhibition at Metropolitan Museum
Metropolitan Museum , is in , New York
it , exhibited as , part of exhibition at Metropolitan Museum of Art
it , exhibited as , part of temporary exhibition at Metropolitan Museum of Art
it , exhibited as , part
it , exhibited at_time , following year
Metropolitan Museum , at exhibition is , MFA 2011
it , was , first
it , exhibited as , part of temporary exhibition at Metropolitan Museum of Art in New York
it , exhibited as , part of temporary exhibition
agreement , made , was
agreement , made between , MFA
MFA , receive , ownership
MFA , receive , full ownership
MFA , receive ownership upon , death of Leon Levy
MFA , receive ownership upon , death
bottom half , shown in , years in association with photograph of half of statue
