Researching , traffic in , objects
large Maya temple decoration , example of , photographic documentation
global traffic , is in , looted objects
Researching , traffic in , looted objects
Researching , global traffic in , objects
Researching , global traffic in , looted objects
piece , is decorated with , head of unknown Maya lord
massive sculptural piece , is decorated with , head of unknown lord
massive piece , is decorated with , head of unknown Maya lord
sculptural piece , is , decorated
massive sculptural piece , is decorated with , head
sculptural piece , is decorated with , head of lord
piece , is decorated with , head of unknown lord
maize god , wearing , elaborate masked headdress
massive sculptural piece , is decorated with , head of lord
piece , is , decorated
piece , is decorated with , head of Maya lord
sculptural piece , is decorated with , head
piece , is decorated with , head of lord
massive piece , is decorated with , head of Maya lord
massive sculptural piece , is , decorated
massive piece , is , decorated
massive sculptural piece , is decorated with , head of unknown Maya lord
sculptural piece , is decorated with , head of unknown lord
massive sculptural piece , is decorated with , head of Maya lord
sculptural piece , is decorated with , head of Maya lord
massive piece , is decorated with , head of lord
massive piece , is decorated with , head
massive piece , is decorated with , head of unknown lord
sculptural piece , is decorated with , head of unknown Maya lord
maize god , wearing , masked headdress
piece , is decorated with , head
maize god , wearing , elaborate headdress
maize god , wearing , headdress
glyphs , holds , glyph
glyph , glyphs on , right
glyph , glyphs for , black
glyphs , holds , glyph for reed
facade , had , had found at site
facade , appeared , have intentionally buried by ancient Maya
facade , had , had found
facade , appeared , have intentionally buried
facade , had , had found at site of Placeres
facade , appeared , have intentionally buried by Maya
facade , appeared , have buried by ancient Maya
facade , had , had found at little-known site
facade , had , had found at little-known site of Placeres
facade , appeared , have buried by Maya
facade , appeared , have buried
Placeres , is , Maya
Placeres , is , located
Placeres , is , Classic
Placeres , is , Late
treasure hunters , notified , their contact
treasure hunters , allegedly notified , their contact
discovery , of Rassiga is , antiquities dealer
he , find , buyer in US
he , find , buyer
piece , be , looted
he , buyer in , US
buyer , is in , US
airstrip , was , cleared
plane , was , flown
plane , was flown in , in Florida
facade , was covered in , moulds
facade , sawed into , transportable pieces
facade , sawed into , pieces
facade , was , covered
saws , struck , stone pegs
piece , displayed in , exhibition entitled
Rassiga , approached , director
piece , displayed in , exhibition
Rassiga , approached , director of Metropolitan Museum of Art
Rassiga , approached , then director
Rassiga , approached , then director of Metropolitan Museum
Rassiga , approached , then director of Metropolitan Museum of Art in New York
Rassiga , approached , then director of Metropolitan Museum in New York
Rassiga , approached , Thomas Hoving
Rassiga , approached , director of Metropolitan Museum in New York
Rassiga , approached , director of Metropolitan Museum of Art in New York
piece , displayed in , upcoming exhibition
Rassiga , approached , then director of Metropolitan Museum of Art
piece , displayed in , upcoming exhibition entitled
Thomas Hoving , director of , Metropolitan Museum in New York
Metropolitan Museum , is in , New York
Rassiga , approached , director of Metropolitan Museum
piece , allegedly offered with , asking price of $ 400,000
piece , also allegedly offered to , Met
piece , also offered with , price
piece , also allegedly offered with , asking price
piece , allegedly offered with , price
piece , also allegedly offered to , Met for sale
piece , also allegedly offered with , asking price of $ 400,000
piece , allegedly offered to , Met
piece , also offered with , asking price
piece , also allegedly offered with , price of $ 400,000
piece , also allegedly offered with , price
piece , also offered to , Met
piece , offered with , price
piece , offered to , Met
piece , allegedly offered with , price of $ 400,000
piece , offered with , asking price of $ 400,000
piece , offered with , price of $ 400,000
piece , also offered with , asking price of $ 400,000
piece , offered to , Met for sale
piece , allegedly offered to , Met for sale
piece , allegedly offered with , asking price
piece , also offered with , price of $ 400,000
piece , also offered to , Met for sale
piece , offered with , asking price
Hoving , notify , Dr Ignacio Bernal
Hoving , notify Dr Ignacio Bernal at , Mexico 's National Museum
Mexico , at , National Museum of Anthropology of possible major theft
piece , is with , museum vice director of operations
Hoving , notify Dr Ignacio Bernal from , Maya site
Hoving , notify Dr Ignacio Bernal from , site
Hoving , notify Dr Ignacio Bernal at , Mexico 's National Museum of Anthropology
Hoving , notify Dr Ignacio Bernal at , Mexico 's National Museum of Anthropology of possible major theft
