global traffic , is in , looted objects
Trafficking Culture , was , largely unknown
remarkable turn , is in , 1980s
Trafficking Culture , was , unknown
Wanborough , is in , Surrey
there had discovery , is In , 1969
museum , is in , Guildford
objects , put forward , should classed
coroner , has , inquest
treasure , is in , legal sense
objects , be classed as , treasure in legal sense
procedure , followed for , such discoveries
objects , put , should classed as treasure in sense
objects , put forward , should classed as treasure in sense
procedure , followed for , discoveries
objects , put , should classed
objects , put forward , should classed as treasure
objects , put , should classed as treasure in legal sense
objects , put , should classed as treasure
legal procedure , followed for , such discoveries
objects , be , classed
procedure , followed In , England
objects , be classed as , treasure
objects , be classed as , treasure in sense
legal procedure , followed In , England
legal procedure , followed for , discoveries
objects , put forward , should classed as treasure in legal sense
exact location , leading at , site
exact location , leading after , after scale nighthawking
exact location , leading soon at , Gilchrist 2003
exact location , leading at , Gilchrist 2003
location , leading after , after scale nighthawking
looting , is with , metal detectors
exact location , leading soon at , site
coins , had , where had found
location , leading soon at , Gilchrist 2003
coins , had , had found
location , leading soon at , site
location , leading at , site
location , leading at , Gilchrist 2003
It , has , has said
articles , seemingly inspired , treasure hunters
treasure hunters , come , participate in apparently unrestrained plundering of site from counties as far away as Norfolk
treasure hunters , come , participate
treasure hunters , come , participate as far away
treasure hunters , come , participate in apparently unrestrained plundering of site as far away
treasure hunters , come , participate in apparently unrestrained plundering of site from counties as far
treasure hunters , come , participate in plundering
treasure hunters , come , participate in apparently unrestrained plundering of site
treasure hunters , come , participate in unrestrained plundering as far away as Norfolk
treasure hunters , come , participate in apparently unrestrained plundering of site as far
treasure hunters , come , participate in plundering as far away
treasure hunters , come , participate in apparently unrestrained plundering as far away as Norfolk
treasure hunters , come , participate in plundering of site as far away
treasure hunters , come , participate in plundering of site from counties as far away
treasure hunters , come , participate in plundering of site as far away as Norfolk
articles , is in , treasure hunting magazines
treasure hunters , come , participate in plundering of site from counties
articles , inspired treasure hunters In , addition
treasure hunters , come , participate in plundering of site as far
treasure hunters , come , participate in unrestrained plundering of site
treasure hunters , come , participate in plundering as far
treasure hunters , come , participate in plundering of site
treasure hunters , come , participate in plundering as far away as Norfolk
treasure hunters , come , participate in apparently unrestrained plundering of site from counties
treasure hunters , come , participate as far
treasure hunters , come , participate as far away as Norfolk
treasure hunters , come , participate in apparently unrestrained plundering of site as far away as Norfolk
treasure hunters , come , participate in unrestrained plundering of site from counties as far away as Norfolk
treasure hunters , come , participate in unrestrained plundering of site as far away as Norfolk
treasure hunters , come , participate in plundering of site from counties as far away as Norfolk
treasure hunters , come , participate in unrestrained plundering
treasure hunters , come , participate in unrestrained plundering as far away
articles , seemingly inspired treasure hunters In , addition
treasure hunters , come to , Wanborough
treasure hunters , come , participate in unrestrained plundering of site from counties as far
treasure hunters , come , participate in plundering of site from counties as far
treasure hunters , come , participate in apparently unrestrained plundering as far away
treasure hunters , come , participate in unrestrained plundering as far
treasure hunters , come , participate in unrestrained plundering of site as far away
articles , inspired , treasure hunters
treasure hunters , come , participate in apparently unrestrained plundering as far
treasure hunters , come , participate in unrestrained plundering of site from counties as far away
treasure hunters , come , participate in unrestrained plundering of site from counties
treasure hunters , come , participate in apparently unrestrained plundering
treasure hunters , come , participate in apparently unrestrained plundering of site from counties as far away
treasure hunters , come , participate in unrestrained plundering of site as far
It , is , also unclear
material , was , removed
much material , was removed from , site
It , is , unclear
material , was removed from , site
much material , was , removed
site , is in , initial period of looting
least , at 9,000 is , Stead 1998
artefacts , have included , Iron Age
artefacts , found at , Wanborough
site , to , function
this , can , however can only approximation
this , can , can also only approximation in absence
this , can , however can also only approximation
this , can , however can approximation in absence of precise data
this , can , can approximation
this , can , however can approximation in absence
this , can , can also approximation in absence of data
this , can , however can only approximation in absence of precise data
this , can , however can also only approximation in absence of precise data
objects , were , looted
this , can , however can also only approximation in absence
this , can , can also approximation
this , can , can approximation in absence of data
this , can , however can also approximation in absence of precise data
It , has , has estimated
objects , were looted with , market value
this , can , can also approximation in absence
this , can , can only approximation in absence
this , can , however can also approximation in absence of data
time , at value is , Brodie 2000
this , can , can only approximation
this , can , can also only approximation in absence of data
this , can , can approximation in absence of precise data
this , can , can only approximation in absence of data
this , can , can only approximation in absence of precise data
objects , were looted with , total market value
this , can , however can approximation
this , can , can also approximation in absence of precise data
this , can , however can only approximation in absence
this , can , however can approximation in absence of data
this , can , can also only approximation
objects , were looted with , market value at time of # 2 million
this , can , can also only approximation in absence of precise data
objects , were looted with , total market value at time of # 2 million
objects , were looted with , total market value at time
objects , were looted with , market value at time
objects , were looted with , Brodie 2000
this , can , however can also approximation in absence
this , can , can approximation in absence
can approximation , is in , absence of precise data
this , can , however can also only approximation in absence of data
this , can , however can also approximation
this , can , however can only approximation in absence of data
amount , was seized during , 1984 looting incidents
small amount , was seized during , 1984 looting incidents
amount , was , seized
small amount , resurfaced , since
small amount , was seized during , 1984 looting incidents by police
amount , resurfaced , since
small amount , was , seized
amount , was seized during , 1984 looting incidents by police
amount , occasionally resurfaced , since
small amount , occasionally resurfaced , since
Some , have , have reported in Belgium
Some , have , have reported
Material , is believed , have gone into US market
Material , is believed , have gone
Material , is , also believed
Material , is , believed
Material , is also believed , have gone
Material , gone into , US market
Material , is also believed , have gone into US market
material , was , excavated
Further material , was excavated during , rescue excavations
Further material , was , excavated
Further material , was excavated during , rescue excavations in 1986
rescue excavations , is in , 1986
material , was excavated during , rescue excavations
material , was excavated during , rescue excavations in 1986
cases , went to , court
arrests , were , made
cases , even went to , court
feature , is , fact
it , was widely acknowledged Despite , small number of convictions resulting in fines
court cases , actually demonstrated , need
it , was widely acknowledged Despite , number of convictions resulting in fines of metal detector
it , was , acknowledged
it , was acknowledged Despite , number
it , was widely acknowledged Despite , number of convictions resulting
it , was acknowledged Despite , small number
it , was widely acknowledged Despite , number
it , was widely acknowledged Despite , small number of convictions resulting
it , was widely acknowledged Despite , small number
it , was acknowledged Despite , small number of convictions resulting
it , was acknowledged Despite , small number of convictions
it , was widely acknowledged Despite , small number of convictions
it , was widely acknowledged Despite , number of convictions
it , was widely acknowledged Despite , number of convictions resulting in fines
it , was , widely acknowledged
it , was acknowledged Despite , number of convictions resulting
it , was acknowledged Despite , number of convictions
it , was acknowledged Despite , small number of convictions resulting in fines
it , was widely acknowledged Despite , small number of convictions resulting in fines of metal detector
court cases , demonstrated , need
it , was acknowledged Despite , number of convictions resulting in fines of metal detector
it , was acknowledged Despite , number of convictions resulting in fines
it , was acknowledged Despite , small number of convictions resulting in fines of metal detector
events , providing , tenacity in particular
events , providing , tenacity of Surrey Archaeological Society in particular
events , have , have credited
tenacity , is in , particular
events , providing , tenacity
events , providing , catalyst
events , providing , tenacity of Surrey Archaeological Society
Wanborough , experienced looting due on , later occasions
Wanborough , experienced looting on , later occasions
Wanborough , experienced , further looting
Wanborough , experienced looting perhaps due on , later occasions
Wanborough , experienced looting due on , occasions
Wanborough , experienced looting perhaps due on , occasions
Wanborough , experienced due , further looting
Wanborough , experienced perhaps due , looting
Wanborough , experienced , looting
Wanborough , experienced looting on , occasions
looting , is in , 1984
Wanborough , experienced perhaps due , further looting
Wanborough , experienced due , looting
Specific incidents , have , have reported
incidents , have , have reported
Addyman , Antiquities without , Archaeology in United Kingdom '
world , 's heritage is , Cambridge
world , of , archaeological heritage
world , 's heritage is , 141-44
Trade , is in , illicit antiquities
Bland , Development of , Treasure Act
Portable Antiquities Scheme , is in , Suzie Thomas
Illicit Trade , is in , Cultural Material
Cultural Material , in Trade is , Cambridge
Archaeological Research , University of , Cambridge
Graham , change , law
Hammond , site in , night raid
Looters pillage Roman temple site , is in , night raid
Antiquities Legislation , is in , Kathryn W Tubb
our , Past , London
example , is in , Kathryn W Tubb
Sheldon , Lure of , Loot
lawyer , 's view is , Antiquity 199-202
lawyer , has , view
Rights , is in , England
Rights , is in , Suzie Thomas
term , is generally used , refer
term , is , used
term , is , generally used
term , is used , refer
