Trafficking Culture , Researching , global traffic in objects
Trafficking Culture , Researching , traffic
Trafficking Culture , Researching , global traffic
global traffic , is in , looted objects
Trafficking Culture , Researching , global traffic in looted objects
Trafficking Culture , Researching , traffic in looted objects
Trafficking Culture , Researching , traffic in objects
time , is in , western Turkey
it , could , could smuggled
They , re-buried , it
1 meter , by meter is , 4 metric ton marble sarcophagus
Garland Sarcophagus exact smuggling route , is , unclear
Garland Sarcophagus smuggling route , is , unclear
antiquities smuggler , is in , Munich
journalists Melik Kaylen , connect , Özgen Acar
journalists Melik Kaylen , connect , Özgen Acar working
Turkish journalists Melik Kaylen , able , Özgen Acar working
journalists Melik Kaylen , connect , Özgen Acar working in 1990
piece , left , Turkey
Turkish journalists Melik Kaylen , connect piece to , antiquities smuggler in Munich
journalists Melik Kaylen , able , Özgen Acar working in 1990
Turkish journalists Melik Kaylen , were , able
journalists Melik Kaylen , connect piece to , antiquities smuggler in Munich
Turkish journalists Melik Kaylen , connect , Özgen Acar working in 1990
Turkish journalists Melik Kaylen , connect piece to , antiquities smuggler
Turkish journalists Melik Kaylen , connect , Özgen Acar working
Turkish journalists Melik Kaylen , connect , Özgen Acar
journalists Melik Kaylen , able , Özgen Acar working
Turkish journalists Melik Kaylen , able , Özgen Acar working in 1990
journalists Melik Kaylen , connect piece to , antiquities smuggler
ten years , is in , prison
journalists Melik Kaylen , able , Özgen Acar
Turkish journalists Melik Kaylen , connect , piece
journalists Melik Kaylen , connect , piece
piece , left , Norman 1993
journalists Melik Kaylen , were , able
Özgen Acar , working in , 1990
Turkish journalists Melik Kaylen , able , Özgen Acar
on Damon Mezzacappa , principal at , Lazard Freres investment bank
sarcophagus , was , then sold on to Damon Mezzacappa
sarcophagus , was , sold on to Damon Mezzacappa for $ 1 million
sarcophagus , was , then sold for $ 1 million
sarcophagus , was sold on , principal
sarcophagus , was , sold
sarcophagus , was sold on , on Damon Mezzacappa
sarcophagus , was sold for , $ 1 million
sarcophagus , was , then sold
sarcophagus , was , then sold on to Damon Mezzacappa for $ 1 million
sarcophagus , was sold on , principal at Lazard Freres investment bank
it , was , where displayed in Hall
it , was displayed in , Hall
it , was , where displayed in Greek Hall
it , was , where displayed
it , was , displayed
it , was displayed in , Greek Hall
appearance , garnered attention on , display in museum in Antalya
sarcophagus , was on , display
sarcophagus , was on , display in museum in Antalya
display , is in , museum
sarcophagus , was on , display in museum
appearance , garnered attention on , display in museum
similar sarcophagus , is with , comparable motifs
museum , is in , Antalya
appearance , is in , high-profile museum
appearance , garnered attention on , display
similar sarcophagus , was on , display in museum
similar sarcophagus , was on , display in museum in Antalya
similar sarcophagus , was on , display
they , came , strongly suggesting
they , came , suggesting
they , came from , location
they , came from , same location
Mezzacappa , donate sarcophagus to , Brooklyn Museum
Mezzacappa , Facing , pressure
Mezzacappa , attempted , hoping
Facing , pressure from , Turkey
Mezzacappa , donate , sarcophagus
Mezzacappa , attempted , hoping for tax deduction
Facing , mounting pressure from , Turkey
Mezzacappa , Facing , mounting pressure
Mezzacappa , Facing , pressure from Turkey
Mezzacappa , Facing , mounting pressure from Turkey
Mezzacappa , hoping for , tax deduction
inside , were bunch of , newspapers
Brooklyn Museum , refused , sarcophagus
Brooklyn Museum , ultimately refused , sarcophagus
Thomas Hoving , director of , Metropolitan Museum
museum , considered , offer
inside , were , bunch
inside , were bunch of , Turkish newspapers
Brooklyn Museum , issue , statement saying
object , has , provenance
Brooklyn Museum , issue , statement
Mezzacappa , Still donated piece under , pressure
Mezzacappa , donated piece under , pressure
