global traffic , is in , looted objects
It , was , located
Images , were , brought
Images , were , brought to remote locations
Images , were , During Inka Empire brought to locations
Images , were , During Inka Empire brought
Images , were , During Inka Empire brought to high-altitude locations
Images , were , brought to remote high-altitude locations
Images , were , brought to high-altitude locations
Images , were , During Inka Empire brought to remote locations
Images , were , brought to locations
Images , were , During Inka Empire brought to remote high-altitude locations
their bodies , preserving , their skin
their bodies , were mummified Because of , extreme cold
their bodies , were , mummified
ritual objects , associated with , them
their bodies , were mummified Because of , cold
their bodies , were unintentionally mummified Because of , extreme cold
their bodies , were , unintentionally mummified
their bodies , were unintentionally mummified Because of , cold
bodies , are linked as , offering associated
bodies , are , linked to capacocha as offering associated with fertility
bodies , are , linked to capacocha as offering
bodies , are , linked to capacocha as offering associated
bodies , are linked to , capacocha
bodies , are linked as , offering
bodies , are linked as , offering associated with fertility
bodies , are , linked
stability , sought , order
stability , were , when sought
stability , were sought from , gods
Capacocha , occurred for , example
stability , were , sought
Capacocha , occurred during , events
stability , were , when sought from gods
Capacocha , occurred during , important events
children , taken to , mountain
children , were , selected
perfect children , taken to , mountain
perfect children , taken to , sacred mountain
children , taken to , sacred mountain
children , taken via , holy procession
perfect children , were , selected
perfect children , were selected for , ritual
perfect children , taken via , holy procession
children , were selected for , ritual
children , taken through , empire
children , taken via , procession
perfect children , taken via , procession
perfect children , taken through , empire
They , were , fed
coca , maize , chicha
They , were fed , keep
coca , maize , beer
They , keep , them docile
way , along beer is , chicha
They , were fed , presumably keep
coca , maize , beer along way
They , presumably keep , them docile
They , were , killed
They , were killed via , strangulation
They , were , then killed
They , were , then killed via strangulation
state , allows for , analysis of Inka life
state , allows for , analysis
state , allows for , detailed analysis of Inka life
state , allows for , detailed analysis
remarkable state , allows for , analysis of Inka life
remarkable state , allows for , analysis
remarkable state , allows for , detailed analysis of Inka life
remarkable state , allows for , detailed analysis
looters , seeking , textile
looters , seeking textile in , near-perfect condition
It , also attracts , looters
It , attracts , looters
looters , seeking , rare textile
looters , seeking textile in , condition
Image , is In , late January 1954
Guillermo Chacón Carrasco , climbed , peak in Andes
Guillermo Chacón Carrasco , left , village
Guillermo Chacón Carrasco , climbed , peak in Chilean Andes
peak , is in , Chilean Andes
Guillermo Chacón Carrasco , left , village of Puente Alto
Cerro El Plomo , peak in , Chilean Andes
Guillermo Chacón Carrasco , climbed , Cerro El Plomo
Guillermo Chacón Carrasco , left , Jaime Ríos Abarca
Guillermo Chacón Carrasco , climbed , Jaime Ríos Abarca
Guillermo Chacón Carrasco , climbed , peak
group 's intent , was , dig at three structures in search of artefacts
group 's intent , was , dig at three ancient structures upon mountain
group 's intent , was , dig at three structures upon mountain
group 's intent , was , dig at three ancient structures in search
group 's intent , was , dig at three structures upon mountain in search of artefacts
group 's intent , was , dig at three structures
group 's intent , was , dig upon mountain in search sell
group 's intent , was , dig at three ancient structures in search of artefacts
group 's intent , dig upon , mountain
group 's intent , was , dig at three ancient structures in search of artefacts sell
group 's intent , was , dig in search sell
Chacón , was , treasure hunter
group 's intent , was , dig at three ancient structures upon mountain in search of artefacts sell
group 's intent , dig at , three structures
group 's intent , was , dig at three ancient structures upon mountain in search of artefacts
group 's intent , was , dig in search
group 's intent , was , dig at three structures in search of artefacts sell
group 's intent , was , dig upon mountain
group 's intent , was , dig at three ancient structures upon mountain in search sell
