Patterson,HOWEVER_OFFERED_PIECE_IN, question with photocopy of Hales ' alleged authentication document
Patterson,HAS, has convicted of fraud for sale
Patterson,HOWEVER_OFFERED, piece
Patterson,WAS_SENTENCED_ON, smuggling charges
Patterson,AUTHENTICATE_GROUP_IN, collection
Patterson,WAS, sentenced to year on smuggling charges
Patterson,HAS, has convicted of fraud in Germany for sale
Patterson,HAS, has convicted of fraud for sale of fake head
Patterson,HAS, has convicted of fraud for sale of fake Olmec head
Patterson,HAS, has convicted for sale of fake Olmec head
Patterson,WAS_SENTENCED_TO, year
Patterson,BROUGHT, him
Patterson,HAS, has convicted for sale
Patterson,HAS, has convicted of fraud
Patterson,OFFERED_PIECE_IN, question with photocopy
Patterson,OFFERED, piece
Patterson,HOWEVER_OFFERED_PIECE_IN, question
Patterson,OFFERED_PIECE_IN, question with photocopy of Hales ' alleged authentication document
Patterson,OFFERED, fresco
Patterson,AUTHENTICATE_GROUP_IN, Swiss collection
INAH,DECISIVE_IN, Conviction Of Leonardo Patterson '
Patterson,ORIGINALLY_OFFERED, fresco
Patterson,HAD_ATTEMPTED, sell
Patterson,WAS_SENTENCED_TO, year in prison
Patterson,WAS_SENTENCED_ON, Honan 1995
Patterson,HAS, has convicted of fraud in Germany for sale of fake monumental Olmec head
Patterson,HAS, has convicted for sale of fake head
Patterson,HAS, has convicted of fraud for sale of fake monumental head
Patterson,HAS, has convicted
Patterson,HAS, has convicted of fraud for sale of fake monumental Olmec head
Patterson,HAS, has convicted of fraud in Germany for sale of fake Olmec head
Patterson,HOWEVER_OFFERED_PIECE_IN, question with photocopy of Hales ' authentication document
Patterson,WAS, sentenced to year in prison on smuggling charges
INAH,COLLABORATION_BETWEEN, INAH
Patterson,ORIGINALLY_OFFERED_FRESCO_TO, Anderson
Patterson,OFFERED_PIECE_IN, question with photocopy of Hales ' authentication document
Patterson,HAS, has convicted of fraud in Germany for sale of fake head
Patterson,OFFERED_PIECE_IN, question
Patterson,AUTHENTICATE, group of five Maya frescos
Patterson,TOLD, Anderson
Patterson,HAS, has convicted of fraud in Germany for sale of fake monumental head
Patterson,WAS_SENTENCED_ON, Honan 1995
Patterson,HOWEVER_OFFERED_PIECE_IN, question with photocopy
Patterson,HAS, has convicted for sale of fake monumental Olmec head
Patterson,OFFERED_FRESCO_TO, Anderson
Patterson,HAS, has convicted for sale of fake monumental head
Patterson,HAS, has convicted of fraud in Germany
Graham,ROAD_TO, Ruins
Patterson,AUTHENTICATE, group of five Maya frescos
Patterson,AUTHENTICATE, group
Patterson,WAS_ARRESTED_ON, probation
Patterson,WAS_ARRESTED_ON, still probation
Patterson,WAS, sentenced
Patterson,AUTHENTICATE, group of five frescos
Patterson,ALLEGEDLY_TOLD, Anderson
Uigwe,PROVIDE, a
Uigwe,INCLUDE, details of various other activities
Uigwe,FURTHERMORE_INCLUDE, details of various activities including construction techniques for buildings
Uigwe,INCLUDE, details of other cultural activities including construction techniques for royal buildings
France,TO, desire sell to South Korea
Uigwe,FURTHERMORE_INCLUDE, details of various other cultural activities including construction techniques for royal buildings
France,TO, desire sell to South Korea
Uigwe,FURTHERMORE_INCLUDE, details of various activities
Uigwe,INCLUDE, details of various other activities including construction techniques
Uigwe,FURTHERMORE_INCLUDE, details of activities including construction techniques for buildings
South Korea,REQUEST, return of additional cultural property
South Korea,FORMALLY_REQUEST, return of property held in Japan
South Korea,FORMALLY_REQUEST, return of additional cultural property held
Uigwe,HAD, had classified
South Korea,FORMALLY_REQUEST, return of additional cultural property
Korea,OF, Joseon
Uigwe,COULD, could comprised
Uigwe,FURTHERMORE_INCLUDE, details of activities including construction techniques
South Korea,FORMALLY_REQUEST, return of property held
South Korea,FORMALLY_REQUEST, return of property
Uigwe,FURTHERMORE_INCLUDE, details of cultural activities including construction techniques for royal buildings
Uigwe,FURTHERMORE_INCLUDE, details of various cultural activities including construction techniques for royal buildings
Uigwe,INCLUDE, details of other activities including construction techniques for royal buildings
South Korea,REQUEST, return of cultural property held
